Date,High,Low,Open,Close,Currency
2017-06-08,1289.34,1271.49,1287.45,1278.9,USD
2017-06-09,1281.3,1264.74,1279.29,1266.4,USD
2017-06-12,1271.01,1263.95,1267.42,1265.74,USD
2017-06-13,1269.42,1259.66,1264.75,1265.85,USD
2017-06-14,1279.87,1257.15,1266.28,1261.18,USD
2017-06-15,1267.04,1251.68,1260.7,1254.0,USD
2017-06-16,1257.63,1251.55,1254.36,1253.63,USD
2017-06-19,1256.12,1243.22,1254.0,1243.25,USD
2017-06-20,1248.38,1241.38,1244.04,1243.19,USD
2017-06-21,1248.31,1241.25,1243.16,1246.55,USD
2017-06-22,1255.05,1245.55,1245.55,1250.62,USD
2017-06-23,1259.31,1249.74,1250.0,1256.9,USD
2017-06-26,1258.54,1236.96,1258.13,1244.45,USD
2017-06-27,1253.13,1241.12,1243.65,1247.1,USD
2017-06-28,1255.11,1247.37,1247.37,1249.32,USD
2017-06-29,1253.71,1239.66,1249.18,1245.74,USD
2017-06-30,1248.59,1239.7,1244.82,1241.6,USD
2017-07-03,1242.83,1218.41,1241.46,1220.46,USD
2017-07-04,1226.74,1220.69,1221.94,1223.97,USD
2017-07-05,1229.34,1217.64,1223.55,1226.95,USD
2017-07-06,1229.57,1222.56,1227.06,1225.15,USD
2017-07-07,1227.2,1207.25,1224.39,1212.9,USD
2017-07-10,1215.6,1204.85,1213.7,1214.35,USD
2017-07-11,1217.79,1207.89,1214.59,1217.69,USD
2017-07-12,1226.1,1214.51,1217.95,1220.0,USD
2017-07-13,1224.92,1216.63,1220.21,1217.45,USD
2017-07-14,1233.16,1214.95,1216.63,1228.98,USD
2017-07-17,1236.44,1228.3,1228.6,1234.4,USD
2017-07-18,1245.06,1233.01,1233.84,1242.46,USD
2017-07-19,1244.48,1236.05,1242.58,1240.87,USD
2017-07-20,1247.98,1235.24,1241.03,1244.74,USD
2017-07-21,1256.3,1243.35,1244.16,1254.9,USD
2017-07-24,1259.18,1251.78,1255.66,1255.24,USD
2017-07-25,1258.18,1249.01,1254.77,1249.05,USD
2017-07-26,1263.92,1243.91,1250.0,1261.1,USD
2017-07-27,1265.49,1254.52,1260.5,1259.0,USD
2017-07-28,1271.34,1257.45,1259.36,1269.25,USD
2017-07-31,1271.48,1265.93,1270.16,1269.55,USD
2017-08-01,1274.47,1264.05,1268.8,1269.05,USD
2017-08-02,1273.34,1263.18,1268.8,1266.7,USD
2017-08-03,1271.37,1258.7,1266.46,1268.65,USD
2017-08-04,1270.94,1254.75,1269.01,1258.6,USD
2017-08-07,1260.38,1255.68,1259.03,1257.69,USD
2017-08-08,1265.7,1251.41,1257.61,1260.64,USD
2017-08-09,1279.06,1260.96,1261.41,1277.55,USD
2017-08-10,1288.63,1274.85,1277.56,1286.9,USD
2017-08-11,1292.26,1281.55,1286.45,1289.21,USD
2017-08-14,1289.82,1278.12,1289.09,1281.95,USD
2017-08-15,1282.77,1267.98,1282.36,1272.13,USD
2017-08-16,1284.29,1268.19,1271.87,1283.1,USD
2017-08-17,1290.47,1282.2,1283.61,1288.01,USD
2017-08-18,1301.2,1283.64,1288.2,1284.5,USD
2017-08-21,1293.58,1280.6,1283.6,1291.22,USD
2017-08-22,1292.69,1282.11,1291.18,1284.72,USD
2017-08-23,1292.03,1283.09,1285.56,1290.62,USD
2017-08-24,1291.3,1284.55,1289.98,1286.33,USD
2017-08-25,1294.14,1278.66,1285.91,1291.15,USD
2017-08-28,1312.99,1292.49,1292.76,1310.49,USD
2017-08-29,1326.14,1304.93,1317.75,1309.5,USD
2017-08-30,1313.87,1305.26,1309.26,1308.76,USD
2017-08-31,1324.11,1300.82,1308.8,1322.07,USD
2017-09-01,1329.2,1316.65,1321.8,1324.97,USD
2017-09-04,1339.85,1331.92,1334.38,1334.67,USD
2017-09-05,1345.18,1327.96,1335.07,1339.33,USD
2017-09-06,1342.84,1331.66,1339.55,1334.14,USD
2017-09-07,1350.27,1332.6,1334.27,1349.2,USD
2017-09-08,1357.94,1343.0,1348.83,1346.71,USD
2017-09-11,1340.36,1326.36,1337.45,1327.32,USD
2017-09-12,1332.43,1322.55,1327.86,1331.94,USD
2017-09-13,1335.05,1320.91,1331.95,1323.25,USD
2017-09-14,1330.69,1316.11,1323.56,1329.83,USD
2017-09-15,1334.76,1319.62,1329.83,1319.62,USD
2017-09-18,1320.5,1305.03,1320.5,1307.57,USD
